,,,,,,,,,,,,,,,,,,,,,
,№,Контрагент,,,,,,,,,договр,,МП,,,,,БУГАЛТЕРИЯ,,,
,87,205006948,"""GARMONIYA FARM"" MCHJ","Toshkent shahri, Olmazor tumani MISKIN MFY, USTA SHIRIN KO'CHASI, 116-UY",712320684,direktor,MAXMUDOV BEKZOD MAXMUDOVICH,,00450,20208000904326795001,75 от 06.02.2023,принито,Уткирака,,Тошкент,,,,,,
,88,305865336,"""AJINIYAZ QARAQALPAQ"" MCHJ","Qoraqalpog'iston Respublikasi, Nukus sh. M.Jumanazarov ko'chasi, 72- uy",933672717,direktor,KALJANOVA JULDIZ JALGASOVNA,,00440,20208000100945773001,288 от 10.01.2024,принито,Улзада,90/577-68-26,Нукус,,,,,,
,89,200931839/1,"""BAYRAM"" XK","Qoraqalpog'iston Respublikasi, Qo'ng'irot tumani, Qo'ng'irot shahri Qoraqalpog'iston ko'chasi, 57g-uy",907233152,direktor,YERLANOVA KIZLARGUL REIMBAYEVNA,,00083,20208000900410270001,178 от 17.05.2023,принито,Гулсум,99/963-91-00,қўнгирот,,,,,230600,
,90,305861856/2,"""MEROS PHARM"" MCHJ","Samarqand viloyati, Samarqand sh. Beruniy ko'chasi, 1-uy, 5-xona",909140509,direktor,PULOTOV SUXROB SHAVKATOVICH,,00491,20208000300945256001,102 от 24.02.2023,принито,Уткирака,,Самарканд,,,,,,
,91,200752673,"""NARPAY TUMAN TIBBIYOT BIRLASHMASI""","Samarqand viloyati, Narpay tumani, Mirbozor shaharchasi Mirbozor qo'rg'oni",664321174,direktor,PARMANOV SHERZOD BAXRANOVICH,,00269,23426000500493687002,2365730 от 10.06.2024,принито,,,,,,,,,
,92,301262060,"""TEBANTIN DAVO"" MCHJ","Qashqadaryo viloyati, Koson tumani, Koson shahri Ravot mahallasi",907200425,direktor,XAKKULOVA NILUFAR MADIYAROVNA,,00440,20208000504790378001,387 от 12.06.2024,принито,Нигора,,Карши,,,,,,
,93,302926238,"""JANNAT SHIFO"" MCHJ","Samarqand viloyati, Samarqand tumani, Kulbaipoyon QFY Talibarzu mahallasi",933321110,direktor,NASRIYEV FOZIL FAXRIYEVICH,,00450,20208000700302402001,341 от 03.04.2024,принито,Комил,,Самарканд,,,,,,
,94,301120704,"""JAYXUN TRADE IMPEX"" MCHJ","Xorazm viloyati, Xonqa tumani, Xonqa shaharchasi Imorat ko'chasi, 12-uy",623991195,direktor,MASHARIPOV XUSHNUD MATNIYAZOVICH,,00450,20208000304772352001,274 от 13.12.2023,принито,Улугбек,97/451-99-00,Ургенч,,,,,220100,
,95,306389057,"""INSOF MED PHARM SERVICE"" MCHJ","Samarqand viloyati, Samarqand sh. Amir Temur ko'chasi, 162-uy",944760595,direktor,BAYMATOV MUSLIHITDIN ABDUSHUKUR O‘G‘LI,,00401,20208000905071346001,375 от 30.05.2024,принито,Комил,,Самарканд,,,,,,
,96,206468508,"""MOXLAROYIM SHODLIK"" XK","Buxoro viloyati, Vobkent tumani, Vobkent shahri U.Yusupov ko'chasi, 27-uy",653353117,direktor,DO‘STOVA MOHIRA ELOVNA,,00450,20208000304513047001,324 от 04.03.2024,принито,Уткирака,,Бухоро,,,,,,
,97,307768938,"""MUSTAXIM-MED FARM"" XK","Qoraqalpog'iston Respublikasi, Shumanay tumani, Diyxanabad QFY Diyxanabad OFY",999444994,direktor,MAMENOV MUSTAXIM DAULETBAYEVICH,,00590,20208000705284615001,242 от 29.08.2023,принито,Зайнаб,,Нукус,,,,,,
,98,310127784,"""M DIYORBEK BEGZOD FARM"" XK","Buxoro viloyati, Olot tumani, Olot shahri Ma'rifat mfy, Olot ko'chasi, 21-uy",943290058,direktor,YAXSHIYEVA XUSNORA RAXMATILLOYEVNA,,00090,20208000305600453001,381 от 06.06.2024,принито,Холида,,Бухоро,,,,,,
,99,303718487,"""FIRDAVS BEK FAYOZ BEK FARM"" MCHJ","Sirdaryo viloyati, Guliston sh. 4-mavze, 64-uy, 82-xonadon",911020722,direktor,SUYUNDIKOVA BARNO ABDUHAKIMOVNA,,01037,20208000900569802001,19 от 10.01.2023,принито,XULKAR,94/580-06-86,Сирдарйо,,,,,,
,100,303240349,"""NIGINA FARM SANOAT"" XK","Buxoro viloyati, Buxoro sh. B.Naqshband ko'chasi, 299/5-uy",914443307,direktor,JUMAYEV MALIK RAJABBOYEVICH,,00440,20208000300446701001,43 от 23.01.2023,принито,Холида,,Бухоро,,,,,,
,101,303827859,"""INTROMED INVEST"" MCHJ","Samarqand viloyati, Samarqand sh. O'zbekiston ko'chasi, 4 a-korpus, 80-uy",933581141,direktor,UMAROV DAMIN RAVUPOVICH,,01095,20208000900593260001,47 от 23.01.2023,принито,Комил,,Самарканд,,,,,,
,102,309368104,"""TEMURBEK FARMA ULUG`BEK"" OK","Surxondaryo viloyati, Angor tumani, Angor shaharchasi Navro'z mahallasi, X.At-Termiziy ko`chasi, raqamsiz uy",937659299,direktor,TOSHQULOV AKBAR XOLBO‘TA O‘G‘LI,,01032,20208000905503383001,214 от 20.07.2023,принито,Ситора,,Сурхон,,,,,,
,103,309997081,"""FARMATSEVT ALIMJANOVNA"" MCHJ","Samarqand viloyati, Bulung'ur tumani, Bulung'ur shahri Guliston mahallasi, Bulung'ur shox ko'chasi, 47 B-uy",339971001,direktor,XUSHBAKOV ABDALIM G‘OZIBAYEVICH,,00122,20208000705584088001,296 от 24.01.2024,принито,Комил,,Самарканд,,,,,,
,104,307610304,"""MURODJON MUSOBEK FARM"" MCHJ","Buxoro viloyati, Vobkent tumani, Vobkent shahri Ziyo ko’chasi, 30-uy",912457004,direktor,G‘AFUROV MURODJON G‘AFFOROVICH,,00433,20208000605260298001,320 от 28.02.2024,принито,Уткирака,,Бухоро,,,,,,
,105,309791291,"""QUROMBOY FARM"" MCHJ","Qoraqalpog'iston Respublikasi, To'rtko'l tumani, To'rtko'l shahri Dustlik MFY, Qaldirg'och berk ko'chasi, 2-uy",979090028,direktor,DOSCHANOV KUROMBOY XASANBOYEVICH,,00433,20208000905558632001,193 от 19.06.2023,принито,Олимбой,99/711-24-43,Ургенч,,,,,220100,
,106,309108363,"""AS-PHARM MED"" MCHJ","Andijon viloyati, Asaka tumani, Asaka shahri Umid ko`chasi",902587104,direktor,TOJIMATOV SHUXRATBEK ABDUKARIMOVICH,,00873,20208000105469974001,372 от 23.05.2024,принито,Нафиса,,Андижон,,,,,,
,107,203329619,"""MAXFIRAT-ANVAR"" XK","Buxoro viloyati, Buxoro sh. Cho'lpon ko'chasi 52-uy",914447194,direktor,TASHEV OYBEK XODJIKURBONOVICH,,00083,20208000804066775001,343 от 04.04.2024,принито,Холида,,Бухоро,,,,,,
,108,201831090,"""LUQMONI XAKIM"" XK","Buxoro viloyati, Kogon sh. Do`stlik ko`chasi, 50-uy",655245001,direktor,ESHMUROTOV KAMOL XOMITOVICH,,01037,20208000300348722001,132 от 31.03.2023,принито,Холида,,Бухоро,,,,,,
,109,305243438,"""LUTFULLO-DAVR-OMAD"" XK","Surxondaryo viloyati, Sariosiyo tumani, Sariosiyo shaharchasi Do'stlik mahallasi, O'rmon ko'chasi, raqamsiz uy",902481012,direktor,XAMROYEV NIZOMJON XAYRULLAYEVICH,,01037,20208000400835255001,109 от 06.03.2023,принито,,,,,,,,,
,110,302341262,"""TURDI RASULOVICH"" MCHJ","Qashqadaryo viloyati, Chiroqchi tumani, Chiroqchi shahri Chiroqchi mahallasi, Xonjon ko'chasi, 25-uy",990039092,direktor,EGAMOV ABDULAZIZ AHROR O‘G‘LI,,00446,20208000704986658001,345 от 08.04.2024,принито,Шохиста,,Чирокчи,,,,,,
,111,204183002,"""BESH YULDUZ - M M P"" XK","Andijon viloyati, Shaxrixon tumani, Shaxrixon shahri Chinobod ko'chasi, 54-uy",945000100,direktor,MO‘YDINOV MAXSUDJON KIMSANOVICH,,00083,20208000904209232001,364 от 15.05.2024,принито,ИСЛОМБЕК,95/037-09-01,АНДИЖОН ВИЛОЯТИ,,SHAXRIXON,,,171600,
,112,305160447,PUL`S FARM MCHJ,"Samarqand viloyati, Pastdarg'om tumani, Juma shahri X.Olimjon ko`chasi,17-uy",913167477,direktor,RAJABOV NURMAMAT FAXRIDDIN O‘G‘LI,,00450,20208000400820877001,360 от 06.05.2024,принито,Уткирака,,сам,,,,,,
,113,309418144,"""SOF BIZNES FARM"" MCHJ","Qashqadaryo viloyati, Qarshi sh. Chakar mahallasi, Nasaf ko'chasi",988888070,direktor,ISOMIDDINOV RUSTAM NIZOM O‘G‘LI,,01095,20208000905509539001,17 от 09.01.2023,принито,Хусан,,Карши,,,,,,
,114,202060663,"""BEKZOD"" MCHJ","Samarqand viloyati, Urgut tumani, Urgut shahri Navoiy shoh ko'chasi, 126-uy",933577500,direktor,TOSHEVA SANOVAR XXX,,00450,20208000900557977001,370 от 16.05.2024,принито,Азиз,,Самарканд,,,,,,
,115,203627699,"""OYBAHOR"" XK","Qashqadaryo viloyati, Qarshi sh. 6-mitti tumani, 1/13-uy, 30-xona",987777730,direktor,KARIMOVA OYBAXOR NARZIYEVNA,,00491,20208000104121974001,79 от 07.02.2023,принито,Висола,,Карши,,,,,,
,116,200665741,"""AZIZ-M"" XK","Qashqadaryo viloyati, Qarshi sh. O'zbekiston ko'chasi, 17-uy",906078026,direktor,DJURAYEVA MARGUBA SHAXAROVNA,,00491,20208000900354612001,123 от 24.03.2023,принито,Висола,,Карши,,,,,,
,117,303594106,"""MITTI FARM MED SERVIS"" MCHJ","Qashqadaryo viloyati, Qarshi sh. Shodlik mahallasi, Nasaf ko'chasi, 15a-uy",972002277,direktor,ZARIPOV OTABEK SHOXDOR O‘G‘LI,,00446,20208000000556089001,36 от 17.01.2023,принито,,,,,,,,,
,118,302787435,"""RAJABBOY MIRZO BOBUR"" MCHJ","Xorazm viloyati, Urganch tumani, Chakkasholikor QFY Uchko'prik mahallasi, Farxod ko'chasi, 2-yo'lak, 38-uy",914375354,direktor,RAJABOVA NODIRA RAJABBAYEVNA,,00401,20208000500273596001,335 от 27.03.2024,принито,Улугбек,99/629-60-00,Хоразм,,,,,220100,
,119,203705277,"""SAMAD"" XK","Buxoro viloyati, Qorako'l tumani, Qorako'l shahri Eski Qal'a ko'chasi, 2-uy",941206898,direktor,SAMADOV CHO‘YON ERGASHOVICH,,00450,20208000604143662001,189 от 08.06.2023,принито,Саодат,,Бухоро,,,,,,
,120,201782786,"""IXLOS"" QMJ","Farg'ona viloyati, Marg'ilon sh. B.Marg'iloniy ko'chasi, 439-uy",916620055,direktor,USMANOV JAMOLIDDIN MAXAMADMUSAYEVICH,,01037,20208000500215694001,350 от 24.04.2024,принито,Сардор ,,Фаргона,,,,,,
,121,307013247,"""TUMARIS MEDICAL TRADE"" MCHJ","Qoraqalpog'iston Respublikasi, Kegeyli tumani, Kegeyli shaharchasi Diyxan bazar",973557800,direktor,BAYMANOVA AZIZA KENESBAYEVNA,,00873,20208000505162344001,344 от 08.04.2024,принито,Улмекен,,Нукус,,,,,,
,122,204483619,"""MONIKA ELODEYA"" XK","Qoraqalpog'iston Respublikasi, Shumanay tumani, Shumanay shahri Дослик гузари кучаси 15 уй",3461811,direktor,UZAKOVA ORAZGUL IBRAGIMOVNA,,01125,20208000904267108001,240 от 28.08.2023,принито,Зайнаб,,Шуманай,,,,,,
,123,203575622,"""GIYOX"" XK","Qashqadaryo viloyati, Qarshi sh. 3 митти туман 34/11 уй",5051648,direktor,RAXIMOVA XALOVAT OTAKULOVNA,,00190,20208000304114906001,77 от 06.02.2023,принито,Хусан,,Карши,,,,,,
,124,206818165,"""UNIVERSAL-FARM-PLUS"" QMJ","Toshkent shahri, Olmazor tumani Paxta mahallasi, Qoraqamish-1, 14-uy",970022020,direktor,BOBONAZAROV JAMSHID HOTAMOVICH,,00083,20208000804559117001,327 от 06.03.2024,принито,XIKMATILLA ,95/870-71-77,TOSHKENT,,,GOLIB AKA,93/330-17-47,,
,125,205427154,"""ROTYUD OL FARM"" MCHJ","Samarqand viloyati, Oqdaryo tumani, Loyish shaharchasi F.Xo'jaev ko'chasi, 9-uy",901682986,direktor,OLIMOVA DILFUZA RIZO QIZI,,00433,20208000604436080001,164 от 05.05.2023,принито,Уткирака,,Самарканд,,,,,,
,126,306689554,"""PREMIUM - MEDICAL CENTER"" OK","Buxoro viloyati, Buxoro sh. B.Naqshband ko`chasi, 309/1-uy",907107400,direktor,BAKOYEV FARXOD ILXOMOVICH,,00088,20208000705125791001,322 от 04.03.2024,принито,Уткирака,,Бухоро,,,,,,
,127,301754184,"""SEVARA ZAFARBEK"" XK","Xorazm viloyati, Qo'shko'pir tumani, Qo'shko'pir shaharchasi Mustaqillik ko'chasi, 55a-uy",919893337,direktor,MATCHANOV SHONAZAR BEKPULATOVICH,,01088,20208000104883184001,355 от 02.05.2024,принито,Саодат,99/629-60-00,Хоразм,,,,,220100,
,128,201826397,"""DAVRON"" XK","Qoraqalpog'iston Respublikasi, Qo'ng'irot tumani, Qo'ng'irot shahri Qoraqalpog'iston ko'chasi, 56-uy",905744405,direktor,KLISHOVA ZLIXA JANIBEKOVNA,,00450,20208000500410272001,216 от 25.07.2023,принито,GULSUM,99/963-91-00,QONGIROT,,,,,230600,
,129,301245113,"""SAXOVAT INSON BEZAGI"" XK","Farg'ona viloyati, Marg'ilon sh., Marg'ilon shahar xokimligiga qarashli shaharchalar Turkiston ko'chasi",732531844,direktor,UMAROVA MAXPURAT GANIYEVNA,,00873,20208000004787331001,350 от 23.04.2024,принито,Сардор ,,Фаргона,,,,,,
,130,305576134,"""ERSHI SHIFO SAVDO"" XK","Andijon viloyati, Marxamat tumani, Marxamat shahri Ipak yo`li ko`chasi",995170074,direktor,PAYZIRAXMONOV ZAFARALI SHERALI O‘G‘LI,,00083,20208000300890973001,348 от 22.04.2024,принито,,,Андижон,,,,,,
,131,306291956,"""IXLOS MED SERVIS KO`P TARMOQLI KLINIKASI"" OK","Buxoro viloyati, Buxoro sh. M.Iqbol ko`chasi yoqasida joylashgan bino",905133807,direktor,YAXSHIYEVA MALOHAT FARMONOVNA,,00088,20208000405048119001,264 от 01.11.2023,принито,Холида,,Бухоро,,,,,,
,132,202229664,"""T T TEMUR"" XK","Surxondaryo viloyati, Jarqo'rg'on tumani, Jarqo'rg'on shahri Surxon soxili mahallasi, O'zbekiston ko'chasi, 34-uy",977687770,direktor,BAYMATOV TADJIMURAT TASHTEMIROVICH,,01037,20208000000351930001,349 от 23.04.2024,принито,Шахноза,93/797-74-74,Термиз,,,,,0,
,133,304250668,"""SAIDA FARM MEDSERVIS"" MCHJ","Farg'ona viloyati, Toshloq tumani, Arabmozor QFY Yoshlar ko'chasi",939808686,direktor,BURXONOV SAIDKAMOLXON MIRKOMILOVICH,,01037,20208000900654777001,353 от 30.04.2024,принито,САРДОР,99/002-05-67,ФАРГОНА,,,RUSTAM,91/678-58-06,150100,
,134,302017205,"""KESH SOG'LOM AVLOD"" MCHJ","Qashqadaryo viloyati, Shahrisabz sh. Bo'ston mahallasi, Ipak yo'li ko'chasi, 250/8-uy",906389735,direktor,NIMATOV ALIJON ISMOILOVICH,,00446,20208000404939270001,151 от 25.04.2023,принито,Шохиста,,Шахрисабз,,,,,,
,135,202627256,"""NA'MATAK"" XUSUSIY DORIXONASI","Buxoro viloyati, Qorako'l tumani, Qorako'l shahri Ulug'bek ko'chasi, 105-uy",655652297,direktor,PO‘LATOV HAZRATQUL AMIROVICH,,00450,20208000100413330001,328 от 06.03.2024,принито,Сайохат,,Бухоро,,,,,,
,136,303086555,"""ASHUR MED MA'SULIYATI CHEKLANGAN JAMIYATI"" MCHJ","Buxoro viloyati, Qorako'l tumani, Qorako'l shahri Ulug'bek ko'chasi, 46- uy,",936236421,direktor,SHARIPOVA ZAMIRA ASHUROVNA,,00450,20208000700408498001,154 от 27.04.2023,принито,Сайохат,,Бухоро,,,,,,
,137,307164241,"""ISLOM - FARM -MEDIKAL"" MCHJ","Qashqadaryo viloyati, Qarshi sh. Jayxun ko'chasi",978010568,direktor,SAIDOV FARRUX PO‘LATOVICH,,01135,20208000805184121001,276 от 18.12.2023,принито,Нигора,,Карши,,,,,,
,138,306465818,"""AL`FA NEYRON"" MCHJ","Buxoro viloyati, Buxoro sh. Mustaqillik va Piridastgir ko'chalari kesishmasida joylashgan bino",917876361,direktor,ERGASHOV ILYOS AZAMOVICH,,00088,20208000405083509001,339 от 02.04.2024,принито,Холида,,Бухоро,,,,,,
,139,306998787,"""VOBKENT FARM INVEST"" MCHJ","Buxoro viloyati, Vobkent tumani, Vobkent shahri Shifokor MFY, Tadbirkor ko'chasi, 51/5-uy",912470777,direktor,NABIYEV SUXROB ABDUHAMIT O‘G‘LI,,01082,20208000505158604001,323 от 04.03.2024,принито,Уткирака,,Бухоро,,,,,,
,140,304270224,"""NURBEK NIYOZOV"" MCHJ","Qashqadaryo viloyati, Shahrisabz sh. Tutzor mahallasi, Ipakyo'li ko'chasi",977996562,direktor,NIYOZOV NE’MATJON JUMAYEVICH,,00450,20208000700700155001,146 от 17.04.2023,принито,Бунёд,,Карши,,,,,,
,141,205787523,"""PROSPERITI-FARM"" MCHJ","Toshkent shahri, Bektemir tumani X.Boyqaro ko'chasi, 37a-uy",9119500170,direktor,SADIKOVA VASILYA DAMIROVNA,,01042,20208000504430616001,338 от 02.04.2024,принито,Хожиакбар,,Тошкент,,,,,,
,142,302835779,"""PHARM LINE"" MCHJ","Buxoro viloyati, Jondor tumani, Jondor shaharchasi M.Tarobiy ko'chasi, 130-uy",913100017,direktor,YULDASHEV SHUXRAT ILXOMOVICH,,00401,20208000900287101001,147 от 18.04.2023,принито,Сайохат,,Бухоро,,,,,,
,143,305437962,"""SHUHRAT FARM SMART"" MCHJ","Buxoro viloyati, Shofirkon tumani, Shofirkon shahri Sultonobod ko'chasi",939650055,direktor,MUXTOROV BAXTIYORJON G‘AYRAT O‘G‘LI,,00433,20208000000863115001,319 от 28.02.2024,принито,Холида,,Бухоро,,,,,,
,144,303970073,"""PHARMA COSMOS"" MCHJ","Toshkent shahri, Uchtepa tumani Bogobod ko`chasi, 269-uy",945350901,direktor,SHOVKATOV SIROJIDDINXO‘JA FAXRIDDIN O‘G‘LI,,00408,20208000200621819001,334 от 26.03.2024,принито,ХИКМАТИЛЛА,95/870-71-77,Тошкент,,,,,,
,145,200712872,"""ASKLEPIY"" MCHJ XK","Toshkent shahri, Olmazor tumani BAYROQTOL KO`CHASI, 15-UY",662227779,direktor,XOLMATOV SUR’AT SHAVKATOVICH,,00450,20208000700398948001,329 от 11.03.2024,принито,Комил,,Самарканд,,,,,,
,146,302638739,MCHJ KOZIM FAYZ BARAKA,"Qashqadaryo viloyati, Qarshi sh. Otchopar mahallasi, Shiroq ko'chasi, 148-uy",904421858,direktor,ITOLMASOV KOSIM YARASHEVICH,,01095,20208000400233218001,254 от 25.09.2023,принито,Хусан,,Карши,,,,,,
,147,202526041,"""MIRZOXID ISKANDAR"" XK","Qashqadaryo viloyati, Shahrisabz sh. Tutzor mahallasi, Ipak yo'li ko'chasi, 108a-uy",912179857,direktor,XUSHVAKTOV ABDUJAMIL TOSHEVICH,,00083,20208000603890329001,299 от 30.01.2024,принито,Шохиста,,Шахрисабз,,,,,,
,148,307436883,"""ISO FARM 111"" MCHJ","Sirdaryo viloyati, Guliston sh. Madaniyat MFY, Doniyorov ko`chasi, 23-uy",915060708,direktor,QARSHIBOYEVA RANO MIRZAXANOVNA,,00446,20208000105230381001,111 от 09.03.2023,принито,Сарвиноз,,Гулистон,,,,,,
,149,310061505,"""SEV NEW FARM 0555"" XK","Qashqadaryo viloyati, Qarshi sh. Shurtan mahallasi, Nasaf ko'chasi, 29-uy",914550555,direktor,BERDIKULOVA ZARRINAXON ISKANDAROVNA,,00491,20208000905593153001,50 от 24.01.2023,принито,Висола,,Карши,,,,,,
,150,302216844,"""SARVINOZ MED FARM"" MCHJ","Samarqand viloyati, Samarqand sh. Navoiy shox ko'chasi, 4 A-uy",944792765,direktor,BOBOMURODOV MASARIDDIN RAFIKOVICH,,01037,20208000804959535001,281 от 22.12.2023,принито,Комил,,Самарканд,,,,,,
,151,205302699,"""GLYUKOZA-GULRUS"" XK","Qoraqalpog'iston Respublikasi, Qo'ng'irot tumani, Oltinko'l shaharchasi Oltinko'l MFY",613123779,direktor,AYTIMBETOVA GULNARA KURBANBAYEVNA,,00450,20208000704370414001,258 от 03.10.2023,принито,Гулсум,,Нукус,,,,,,
,152,302680980,"""AMU-MANGIT FAZO"" MCHJ","Qoraqalpog'iston Respublikasi, Amudaryo tumani, Mang'it shahri X.Do'stligi ko'chasi",91270003,direktor,ARTIKOVA TOZAGUL BAZARBAYEVNA,,00873,20208000500247398001,219 от 26.07.2023,принито,Дилфуза,,Нукус,,,,,,
,153,304934187,"""NAVBAHOR DORI TA`MINOTI"" MCHJ","Navoiy viloyati, Navbahor tumani, Beshrabot QFY Beshrabot qo'rg'oni",905008800,direktor,HAMIDOVA ZEBINISO KOMIL QIZI,,00450,20208000000779169001,82 от 09.02.2023,принито,Уткирака,,Навоий,,,,,,
,154,204060377,"""A'LO XO'JA"" XK","Buxoro viloyati, Qorako'l tumani, Qorako'l shahri Ulug'bek ko'chasi , 4-uy",949390100,direktor,PO‘LATOVA NODIRA SAIDUMAROVNA,,00450,20208000904201701001,158 от 01.05.2023,принито,Сайохат,,Бухоро,,,,,,
,155,204691613,"""AVERON"" XK","Farg'ona viloyati, Furqat tumani, Navbahor shaharchasi Hавбахор шахарчаси",2045104,direktor,QO'LDASHOV NASIRDIN XXX,,00083,20208000604290468001,280 от 21.12.2023,принито,Бахтийор,,Кукон,,,,,,
,156,,"""MADINA- FARM SINTEZ"" MCHJ","Buxoro viloyati, Buxoro sh. Bog`i Amir ko`chasi, 29-uy",909245435,direktor,SHADMANOV YUNUS XOTAMOVICH,,01082,20208000605018345001,326 от 05.03.2024,принито,Хикматилла,,Карши,,,,,,
,157,310854349,"""INVESTFARM"" MCHJ","Qashqadaryo viloyati, Yakkabog' tumani, Yakkabog' shahri Cho‘mich mahallasi, Cho'mich ko'chasi, 203-uy",970707774,direktor,RUSTAMOV RAHIMBEK RUSLAN O’G’LI,,01037,20208000705706083001,272 от 12.12.2023,принито,Шохиста,,Яккабог,,,,,,
,158,205396424,"""YUMAXFARM-SERVIS"" MCHJ","Samarqand viloyati, Samarqand tumani, Kattaqo'rg'onariq QFY Turkman mahallasi",902500394,direktor,SHUKUROV SHAXOBIDIN SADRIYEVICH,,01061,20208000904391666001,1 от 20.02.2024,ожидания,Зумрад,,Навоий,,,,,,
,159,310349191,"""DAIMON FERTILITY"" MCHJ","Samarqand viloyati, Samarqand sh. Yangi Qo'rg'on mahallasi, Turkiston ko'chasi, 169 B-uy, 7-dukon-xonadonдон",997393777,direktor,JUMAYEV IZATULLA JO‘RAYEVICH,,01037,20208000605630331001,279 от 20.12.2023,принито,Комил,,Самрканд,,,,,,
,160,310121460,"""SHOMUROD SOF FARM"" MCHJ","Qashqadaryo viloyati, Qarshi sh. Otchopar mahallasi, Xalqlar do'stligi ko'chasi, 11a-uy",975855111,direktor,NAZAROV SARVAR SHOMUROD O‘G‘LI,,01119,20208000405610532001,116 от 15.03.2023,принито,Хусан,,Карши,,,,,,
,161,205681704,"""ANVAR FARMSERVIS"" MCHJ","Toshkent shahri, Chilonzor tumani 1-MAVZE, 1-UY, 18-XONA",983084574,direktor,ALIBAYEV ANVAR RAXMANOVICH,,01136,20208000904408186001,318 от 27.02.2024,принито,ХИКМАТИЛЛА,95/870-71-77,Тошкент,,,,,,
,162,303218072,"""ASAD MED"" MCHJ","Buxoro viloyati, Kogon sh. M. Tarobiy ko`chasi, 104-uy",936524454,direktor,RASULOVA SARVINOZ AKRAMOVNA,,01037,20208000100439902001,28 от 16.01.2023,принито,Уткирака,,Бухоро,,,,,,
,163,309552485,"""RIZO MEGA PHARM"" MCHJ","Samarqand viloyati, Payariq tumani, Payariq shahri Guzal mahallasi, O.Kuvvatov ko'chasi, 2-uy, 4-xonadon",902806100,direktor,MAMASOLIYEV GANISHER ABDUVALIYEVICH,,00446,20208000005526721001,307 от 13.02.2024,принито,Комил,,Самарканд,,,,,,
,164,305626481,"""PHARMART"" MCHJ","Buxoro viloyati, Buxoro sh. M.Iqbol ko`chasi, 65/2-uy",936233333,direktor,IBRAGIMOV SOXIBJON SAFOYEVICH,,01082,20208000800895131001,105 от 01.03.2023,принито,Холида,,Бухоро,,,,,,
,165,307098807,"""MED I LIFE"" MCHJ","Namangan viloyati, Namangan sh. Baynalminal MFY, N.Nomomgoniy ko'chasi, 12-uy",911812030,direktor,SADIKOV SANJAR JAMOLIDDINOVICH,,01085,20208000805178386001,305 от 09.02.2024,принито,Ислом,,Наманган,,,,,,
,166,308460973,"""ZAYD SUMAYYA FARM"" MCHJ","Andijon viloyati, Jalolquduq tumani, Oyim QFY O'zbekiston mahallasi, Nodira ko'chasi",905446633,direktor,MAXMUDOV JALOLIDDIN RAXIMBERDIYEVICH,,00083,20208000305388076001,303 от 06.02.2024,принито,Гулноза,,Андижон,,,NODIRBEK,99/431-27-05,,
,167,204889665,"""SAMSOGDAFARM"" OK","Samarqand viloyati, Samarqand sh. Daxbet ko'chasi, 16-manzil",973983679,direktor,ZARIPOVA FOTIMA QUVANDIQOVNA,,00283,20208000504311637001,178 от 05.07.2021,ожидания,Уткирака,,Самарканд,,,,,,
,168,202864549,"""MASHXURA-I"" XK","Namangan viloyati, Namangan tumani, Toshbuloq shaharchasi Mullakuding MFY, Barkamol avlod ko`chasi, 5-uy",945022522,direktor,INOMXO‘JAYEV ELYORBEK ISLOMXON O‘G‘LI,,00873,20208000404003428001,138 от 12.04.2023,принито,Ислом,,Наманган,,,,,,
,169,308267760,"""DOKTOR T DARMON"" MCHJ","Qashqadaryo viloyati, G'uzor tumani, G'uzor shahri O'zbekiston ko'chasi",973101717,direktor,NORMAMATOV HABIB TOVASHAR O‘G‘LI,,00491,20208000205356483001,93 от 15.02.2023,принито,Хусан,,Карши,,,,,,
,170,300433386,"""BOBUR FARM MEDIKAL"" MCHJ","Toshkent viloyati, Toshkent tumani, Keles shaharchasi Keles yo'li ko'chasi, 14-uy",935500009,direktor,ZAXIDOV BOXODIR BAXROMOVICH,,00433,20208000904609577001,297 от 25.01.2024,принито,Мухиддин,,Тошкент,,,,,,
,171,302471924,"""DIL MUXAMMAD FARM SERVIS"" MCHJ","Samarqand viloyati, Samarqand sh. A.Jomiy ko'chasi, 53-uy",982733744,direktor,SUBXANOVA ROILYA BAZAROVNA,,01071,20208000405015098001,67 от 01.02.2023,принито,Комил,,Самарканд,,,,,,
,172,307202304,"""VIJDON ILA INSOF FARM"" MCHJ","Qashqadaryo viloyati, Yakkabog' tumani, Yakkabog' shahri Cho'mich mahallasi, Cho'mich ko'chasi",972888678,direktor,NORQULOV JURABEK YANGIBOYEVICH,,00491,20208000705193154001,74 от 06.02.2023,принито,Ойбек,,Яккабог,,,,,,
,173,303044401,"""JURATBEK FARM SAVDO"" MCHJ","Qo'rg'ontepa tumani, Qo'rg'ontepa shahri, Mustaqillik ko'chasi",97 561-28-00,direktor,MULLABOYEV JAXONGIR YO‘LDASHBOYEVICH,,00083,20208000800391506001,290 от 18.01.2024,принито,Олтиной,,Андижон,,,,,,
,174,200880508,"""DARMON"" XK","Buxoro viloyati, Qorako'l tumani, Quyi Yangibozor QFY Sayyod qishlog'i",935461179,direktor,OCHILOV UMAR XAMROYEVICH,,00450,20208000900346491001,155 от 27.04.2023,принито,Сайохат,,Бухоро,,,,,,
